Product,Test,Receiver,Receiver_ID,POS_File,Exists,Bytes,Parse_Status,Raw_N,Clean_N,Outlier_N,Outlier_pct,Solution_Status,Status_Reason,Contamination_Class,Filter_Method,RAW_RMSE_2D_m,RAW_RMSE_3D_m,CLEAN_RMSE_2D_m,CLEAN_RMSE_3D_m
JAX,Test-3,CHC I80,C3,C:\IEEE\RTKLIB_DATA\JAX\CHC3.pos,True,535403,OK,3660,2872,788.0,21.530054644808743,USABLE,MEETS_SOLUTION_QC,MODERATE,MCD_CHI2_99.73,0.22093021224697526,0.22253340926904763,0.22050496154921012,0.22195758466218724
JAX,Test-3,TRIMBLE OEM MB2,OEM3,C:\IEEE\RTKLIB_DATA\JAX\OEM3.pos,True,466053,OK,3185,2808,377.0,11.83673469387755,USABLE,MEETS_SOLUTION_QC,LOW,MCD_CHI2_99.73,0.08441588546499434,0.35428973244596074,0.07972606971623095,0.3534735479697576
JAX,Test-3,XIAOMI-1,T13,C:\IEEE\RTKLIB_DATA\JAX\T13.pos,True,534956,OK,3657,2220,1437.0,39.29450369155045,USABLE,MEETS_SOLUTION_QC,HIGH,MCD_CHI2_99.73,4.35997153379716,4.514703738107081,3.5142816519397257,3.6817628519262064
JAX,Test-3,XIAOMI-2,T23,C:\IEEE\RTKLIB_DATA\JAX\T23.pos,True,534664,OK,3655,2454,1201.0,32.85909712722298,USABLE,MEETS_SOLUTION_QC,MODERATE,MCD_CHI2_99.73,1.746891365913803,4.698450863838494,1.7582679901201557,4.7362834098727795
WHU,Test-1,CHC I80,C1,C:\IEEE\RTKLIB_DATA\WHU\CHC1.pos,True,818351,OK,5598,5071,527.0,9.4140764558771,USABLE,MEETS_SOLUTION_QC,LOW,MCD_CHI2_99.73,0.34908179325756894,0.5146874612875065,0.3480327583479007,0.5132381369496556
WHU,Test-1,TRIMBLE OEM MB2,OEM1,C:\IEEE\RTKLIB_DATA\WHU\OEM1.pos,True,1043,EMPTY_OR_UNPARSEABLE,0,0,,,FAILED,EMPTY_OR_UNPARSEABLE,NOT_APPLICABLE,,,,,
WHU,Test-1,XIAOMI-1,T11,C:\IEEE\RTKLIB_DATA\WHU\T11.pos,True,769578,OK,5264,2744,2520.0,47.87234042553192,USABLE,MEETS_SOLUTION_QC,HIGH,MCD_CHI2_99.73,2.8169120521428166,2.8385230993000388,2.798643253962625,2.818492379169748
WHU,Test-1,XIAOMI-2,T21,C:\IEEE\RTKLIB_DATA\WHU\T21.pos,True,771914,OK,5280,3114,2166.0,41.02272727272727,USABLE,MEETS_SOLUTION_QC,HIGH,MCD_CHI2_99.73,2.745564002811063,3.188770312235509,2.792311862857941,3.199167681427368
WHU,Test-2,CHC I80,C2,C:\IEEE\RTKLIB_DATA\WHU\CHC2.pos,True,759221,OK,5193,4432,761.0,14.654342383978433,USABLE,MEETS_SOLUTION_QC,LOW,MCD_CHI2_99.73,0.295875616227918,0.318397661914364,0.29731369186123746,0.32018657639968084
WHU,Test-2,TRIMBLE OEM MB2,OEM2,C:\IEEE\RTKLIB_DATA\WHU\OEM2.pos,True,1043,EMPTY_OR_UNPARSEABLE,0,0,,,FAILED,EMPTY_OR_UNPARSEABLE,NOT_APPLICABLE,,,,,
WHU,Test-2,XIAOMI-1,T12,C:\IEEE\RTKLIB_DATA\WHU\T12.pos,True,544446,OK,3722,2481,1241.0,33.34228909188608,USABLE,MEETS_SOLUTION_QC,MODERATE,MCD_CHI2_99.73,5.483575432602616,6.571617510932634,5.4720988113101985,6.652113401057697
WHU,Test-2,XIAOMI-2,T22,C:\IEEE\RTKLIB_DATA\WHU\T22.pos,True,543716,OK,3717,2650,1067.0,28.705945655098198,USABLE,MEETS_SOLUTION_QC,MODERATE,MCD_CHI2_99.73,4.183836135185868,7.611013294211574,4.168988394185554,7.63525051041818
WHU,Test-3,CHC I80,C3,C:\IEEE\RTKLIB_DATA\WHU\CHC3.pos,True,534965,OK,3657,3169,488.0,13.344271260596116,USABLE,MEETS_SOLUTION_QC,LOW,MCD_CHI2_99.73,0.3239779640384084,0.3261653900010134,0.3245713297272852,0.32670895090706475
WHU,Test-3,TRIMBLE OEM MB2,OEM3,C:\IEEE\RTKLIB_DATA\WHU\OEM3.pos,True,1481,OK,3,3,0.0,0.0,FAILED,INSUFFICIENT_CLEAN_EPOCHS,NOT_APPLICABLE,NONE_SMALL_SAMPLE,46.69231477383849,63.17922804008032,46.69231477383849,63.17922804008032
WHU,Test-3,XIAOMI-1,T13,C:\IEEE\RTKLIB_DATA\WHU\T13.pos,True,535394,OK,3660,2383,1277.0,34.89071038251366,USABLE,MEETS_SOLUTION_QC,MODERATE,MCD_CHI2_99.73,1.6679382451504277,2.682970635400445,1.8323558644674116,2.919893940035038
WHU,Test-3,XIAOMI-2,T23,C:\IEEE\RTKLIB_DATA\WHU\T23.pos,True,534664,OK,3655,2373,1282.0,35.07523939808482,USABLE,MEETS_SOLUTION_QC,HIGH,MCD_CHI2_99.73,0.5194679350280188,5.834681086751578,0.5264521081006536,5.84704695435077
