Source_Block,Test,Receiver,Receiver_ID,Receiver_Class,RINEX_File,Epoch_N,Expected_Epoch_N,Duration_min,Header_Interval_s,Median_dt_s,Nominal_Interval_s,Epoch_Retention_pct,PhaseJump_Flag_N,Final_Phase_Transitions_N,PhaseJump_Rate_per1000,PhaseDiscontinuities_per_hour,Transitions_per_second_of_session,Interval_Match_1s,Header_vs_Empirical,Dataset_N,Median_dt_1s_N,Nominal_interval_1s_N,Header_interval_present_N,Header_interval_missing_N,All_empirically_1s,All_nominally_1s,Min_retention_pct,Max_retention_pct,Low_retention_dataset,Scope,Method,Statistic,Outcome,N,Spearman_rho,p_value,Spearman_rho_vs_MedianArc,Claim_ID,Evidence_Role,Metric,Predictor,Population,Adjustment,Statistical_Test,Rho,P,Q,Permutation_N,Source_CSV,Source_Row,Manuscript_Role,Lock_Status,LOTO_Rho_Min,LOTO_Rho_Max,Direction_Preserved_Count,Direction_Total
COMMENT8_CMC_SENSITIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARTPHONE,QUADRATIC,RobustSigma_m,RMSE2D_Product_Range_m,6.0,-0.4857142857142857,0.3287230320699709,,,,,,,,,,,,,,,,,,,,
COMMENT8_CMC_SENSITIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARTPHONE,QUADRATIC,P95Abs_m,Median_RMSE2D_m,6.0,-0.6,0.2079999999999998,,,,,,,,,,,,,,,,,,,,
COMMENT8_CMC_SENSITIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARTPHONE,QUADRATIC,P95Abs_m,Median_RMSE3D_m,6.0,-0.6571428571428573,0.1561749271137023,,,,,,,,,,,,,,,,,,,,
COMMENT8_CMC_SENSITIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARTPHONE,QUADRATIC,P95Abs_m,RMSE2D_Product_Range_m,6.0,-0.7714285714285715,0.0723965014577259,,,,,,,,,,,,,,,,,,,,
COMMENT8_ARC_DEPENDENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL,CURRENT,RobustSigma_m,,12.0,,0.1121092914688919,0.4825174825174825,,,,,,,,,,,,,,,,,,,
COMMENT8_ARC_DEPENDENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL,CURRENT,P95Abs_m,,12.0,,0.0585894753885676,0.5594405594405596,,,,,,,,,,,,,,,,,,,
COMMENT8_ARC_DEPENDENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL,FIXED300,RobustSigma_m,,12.0,,0.3079098761806526,0.3216783216783217,,,,,,,,,,,,,,,,,,,
COMMENT8_ARC_DEPENDENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL,FIXED300,P95Abs_m,,12.0,,0.2652387868927897,0.3496503496503497,,,,,,,,,,,,,,,,,,,
COMMENT8_ARC_DEPENDENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL,LINEAR,RobustSigma_m,,12.0,,0.1445863013033475,0.4475524475524475,,,,,,,,,,,,,,,,,,,
COMMENT8_ARC_DEPENDENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL,LINEAR,P95Abs_m,,12.0,,0.1908358740045003,0.4055944055944056,,,,,,,,,,,,,,,,,,,
COMMENT8_ARC_DEPENDENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL,QUADRATIC,RobustSigma_m,,12.0,,0.2080634636953532,0.3916083916083916,,,,,,,,,,,,,,,,,,,
COMMENT8_ARC_DEPENDENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL,QUADRATIC,P95Abs_m,,12.0,,0.378568669662303,0.2797202797202798,,,,,,,,,,,,,,,,,,,
COMMENT8_ARC_DEPENDENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARTPHONE,CURRENT,RobustSigma_m,,6.0,,0.5440932944606414,-0.3142857142857143,,,,,,,,,,,,,,,,,,,
COMMENT8_ARC_DEPENDENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARTPHONE,CURRENT,P95Abs_m,,6.0,,0.5440932944606414,-0.3142857142857143,,,,,,,,,,,,,,,,,,,
COMMENT8_ARC_DEPENDENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARTPHONE,FIXED300,RobustSigma_m,,6.0,,0.3965014577259473,-0.4285714285714286,,,,,,,,,,,,,,,,,,,
COMMENT8_ARC_DEPENDENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARTPHONE,FIXED300,P95Abs_m,,6.0,,0.5440932944606414,-0.3142857142857143,,,,,,,,,,,,,,,,,,,
COMMENT8_ARC_DEPENDENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARTPHONE,LINEAR,RobustSigma_m,,6.0,,0.7871720116618075,-0.1428571428571428,,,,,,,,,,,,,,,,,,,
COMMENT8_ARC_DEPENDENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARTPHONE,LINEAR,P95Abs_m,,6.0,,0.0188454810495626,-0.8857142857142858,,,,,,,,,,,,,,,,,,,
COMMENT8_ARC_DEPENDENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARTPHONE,QUADRATIC,RobustSigma_m,,6.0,,0.8717434402332361,0.0857142857142857,,,,,,,,,,,,,,,,,,,
COMMENT8_ARC_DEPENDENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARTPHONE,QUADRATIC,P95Abs_m,,6.0,,0.2079999999999998,-0.6,,,,,,,,,,,,,,,,,,,
COMMENT11_ROBUSTNESS_LOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Horizontal_RMSE_2D,11.0,,,,C12-004,ROBUSTNESS_EVIDENCE,CMC_P95,CMC_P95,Final_11_dataset_level_evidence_set,Unadjusted,Spearman + exact Test-blocked permutation,0.8454545454545455,0.0034722222222222,,3456.0,C:\IEEE\GNSS_ANALYSIS\COMMENT11_CLUSTER_DEPENDENCE_AUDIT_V1_1\COMMENT11_V1_1_BLOCKED_PERMUTATION.csv,5,Robustness only; do not substitute for primary value,LOCKED,,,,
COMMENT11_ROBUSTNESS_LOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Horizontal_RMSE_2D,11.0,,,,C12-005,ROBUSTNESS_EVIDENCE,CMC_ROBUST,CMC_ROBUST,Final_11_dataset_level_evidence_set,Unadjusted,Spearman + exact Test-blocked permutation,0.790909090909091,0.0049189814814814,,3456.0,C:\IEEE\GNSS_ANALYSIS\COMMENT11_CLUSTER_DEPENDENCE_AUDIT_V1_1\COMMENT11_V1_1_BLOCKED_PERMUTATION.csv,6,Robustness only; do not substitute for primary value,LOCKED,,,,
COMMENT11_ROBUSTNESS_LOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Horizontal_RMSE_2D,11.0,,,,C12-006,ROBUSTNESS_EVIDENCE,CN0,CN0,Final_11_dataset_level_evidence_set,Unadjusted,Spearman + exact Test-blocked permutation,-0.790856842579329,0.0049189814814814,,3456.0,C:\IEEE\GNSS_ANALYSIS\COMMENT11_CLUSTER_DEPENDENCE_AUDIT_V1_1\COMMENT11_V1_1_BLOCKED_PERMUTATION.csv,7,Robustness only; do not substitute for primary value,LOCKED,,,,
COMMENT11_ROBUSTNESS_LOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Horizontal_RMSE_2D,,,,,C12-007,ROBUSTNESS_EVIDENCE,CMC_P95,CMC_P95,Leave_one_Test_out,Product-adjusted,LOTO Spearman sensitivity,,,,,C:\IEEE\GNSS_ANALYSIS\COMMENT11_CLUSTER_DEPENDENCE_AUDIT_V1_1\COMMENT11_V1_1_LOTO_SENSITIVITY.csv,multiple,Robustness statement/range only,LOCKED,0.642857142857143,0.9642857142857144,3.0,3.0
COMMENT11_ROBUSTNESS_LOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Horizontal_RMSE_2D,,,,,C12-008,ROBUSTNESS_EVIDENCE,CMC_ROBUST,CMC_ROBUST,Leave_one_Test_out,Product-adjusted,LOTO Spearman sensitivity,,,,,C:\IEEE\GNSS_ANALYSIS\COMMENT11_CLUSTER_DEPENDENCE_AUDIT_V1_1\COMMENT11_V1_1_LOTO_SENSITIVITY.csv,multiple,Robustness statement/range only,LOCKED,0.7142857142857144,0.9285714285714288,3.0,3.0
COMMENT11_ROBUSTNESS_LOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Horizontal_RMSE_2D,,,,,C12-009,ROBUSTNESS_EVIDENCE,CN0,CN0,Leave_one_Test_out,Product-adjusted,LOTO Spearman sensitivity,,,,,C:\IEEE\GNSS_ANALYSIS\COMMENT11_CLUSTER_DEPENDENCE_AUDIT_V1_1\COMMENT11_V1_1_LOTO_SENSITIVITY.csv,multiple,Robustness statement/range only,LOCKED,-0.9549937104572924,-0.5585812268712466,3.0,3.0
